,date,open,high,low,close,volume,quote_volume
0,2024-10-31 08:00:00,72349.0,72388.8,72340.0,72385.6,128.507,9298715.9593
1,2024-10-31 08:01:00,72385.6,72421.4,72356.9,72357.0,143.072,10358485.088
2,2024-10-31 08:02:00,72356.9,72357.0,72308.0,72350.0,147.95,10701489.4186
3,2024-10-31 08:03:00,72349.9,72389.5,72349.9,72372.5,66.828,4836013.2245
4,2024-10-31 08:04:00,72372.5,72384.7,72365.3,72370.7,22.932,1659699.3129
5,2024-10-31 08:05:00,72370.7,72385.1,72333.4,72377.6,79.74,5770300.3184
6,2024-10-31 08:06:00,72377.7,72421.4,72377.6,72382.0,131.316,9507660.2598
7,2024-10-31 08:07:00,72382.0,72382.0,72333.5,72347.9,52.253,3780609.3413
8,2024-10-31 08:08:00,72347.9,72396.4,72324.0,72396.4,60.848,4402343.4358
9,2024-10-31 08:09:00,72396.4,72412.7,72388.1,72388.2,73.109,5293220.4525
10,2024-10-31 08:10:00,72388.2,72398.0,72387.9,72387.9,17.642,1277128.3493
11,2024-10-31 08:11:00,72388.0,72398.0,72349.0,72398.0,39.311,2845008.2124
12,2024-10-31 08:12:00,72398.0,72420.0,72393.7,72414.1,42.582,3083399.8302
13,2024-10-31 08:13:00,72414.1,72420.0,72389.7,72389.7,38.594,2794475.2538
14,2024-10-31 08:14:00,72389.7,72396.6,72325.9,72351.4,210.379,15222693.866
15,2024-10-31 08:15:00,72351.5,72354.4,72351.4,72354.3,25.407,1838274.2287
16,2024-10-31 08:16:00,72354.4,72354.4,72306.8,72308.4,92.679,6703225.1606
17,2024-10-31 08:17:00,72308.5,72338.8,72308.5,72313.3,84.916,6141475.4111
18,2024-10-31 08:18:00,72313.2,72358.0,72283.0,72357.9,271.955,19666742.4161
19,2024-10-31 08:19:00,72358.0,72368.2,72314.8,72314.8,43.808,3169567.881
20,2024-10-31 08:20:00,72314.8,72314.9,72252.0,72279.0,191.716,13856673.4237
21,2024-10-31 08:21:00,72278.9,72315.8,72271.7,72315.8,49.373,3569203.583
22,2024-10-31 08:22:00,72315.8,72315.8,72267.1,72283.6,65.948,4767577.0976
23,2024-10-31 08:23:00,72283.6,72292.0,72267.8,72292.0,51.444,3718294.4907
24,2024-10-31 08:24:00,72292.0,72317.4,72280.0,72307.9,34.401,2486924.2381
25,2024-10-31 08:25:00,72308.0,72320.0,72283.0,72320.0,24.104,1742735.9453
26,2024-10-31 08:26:00,72319.9,72343.0,72302.4,72302.5,37.536,2714552.1668
27,2024-10-31 08:27:00,72302.5,72324.0,72302.4,72319.7,30.126,2178567.0997
28,2024-10-31 08:28:00,72319.9,72325.0,72307.1,72307.2,39.013,2821230.3849
29,2024-10-31 08:29:00,72307.2,72332.4,72303.0,72332.3,20.293,1467439.8732
30,2024-10-31 08:30:00,72332.4,72333.0,72281.2,72281.3,47.133,3408171.1067
31,2024-10-31 08:31:00,72281.2,72281.3,72063.6,72121.5,932.657,67302932.4467
32,2024-10-31 08:32:00,72121.6,72126.0,72067.3,72087.0,413.391,29803731.8728
33,2024-10-31 08:33:00,72087.1,72114.4,72058.8,72114.4,256.965,18521488.2757
34,2024-10-31 08:34:00,72114.4,72145.0,72099.3,72145.0,129.315,9326102.1048
35,2024-10-31 08:35:00,72145.0,72211.3,72144.9,72211.3,148.292,10705649.4818
36,2024-10-31 08:36:00,72211.3,72211.3,72158.1,72166.3,81.735,5900464.9069
37,2024-10-31 08:37:00,72166.3,72170.0,72128.8,72140.0,59.646,4303495.2088
38,2024-10-31 08:38:00,72140.0,72140.0,72122.8,72126.7,97.619,7041223.2262
39,2024-10-31 08:39:00,72126.8,72140.0,72114.1,72125.8,96.722,6976395.5582
40,2024-10-31 08:40:00,72125.8,72125.8,72071.5,72084.6,170.363,12280587.2746
41,2024-10-31 08:41:00,72084.7,72084.7,72070.0,72070.0,74.47,5367440.9982
42,2024-10-31 08:42:00,72070.1,72080.0,72060.0,72060.1,69.827,5032419.5873
43,2024-10-31 08:43:00,72060.1,72100.0,72059.9,72097.9,108.957,7852634.066
44,2024-10-31 08:44:00,72098.0,72098.0,72070.0,72070.0,86.02,6200459.6156
45,2024-10-31 08:45:00,72070.1,72170.0,72070.0,72169.9,155.837,11239904.1908
46,2024-10-31 08:46:00,72170.0,72199.9,72120.6,72120.6,406.063,29305515.7449
47,2024-10-31 08:47:00,72120.7,72147.4,72112.8,72138.4,117.973,8509074.0345
48,2024-10-31 08:48:00,72138.4,72176.5,72130.4,72151.2,98.569,7112164.4312
49,2024-10-31 08:49:00,72151.7,72163.4,72113.5,72136.8,79.89,5762740.7648
50,2024-10-31 08:50:00,72136.8,72140.4,72112.8,72120.0,43.332,3125594.7234
51,2024-10-31 08:51:00,72120.1,72179.6,72120.1,72146.9,60.145,4340057.4426
52,2024-10-31 08:52:00,72146.9,72159.2,72132.4,72145.0,40.902,2950940.4258
53,2024-10-31 08:53:00,72144.9,72150.0,72130.4,72142.7,32.658,2355955.0329
54,2024-10-31 08:54:00,72142.8,72150.0,72134.3,72138.5,53.137,3833417.9128
55,2024-10-31 08:55:00,72138.6,72154.8,72117.6,72127.0,52.375,3778429.9812
56,2024-10-31 08:56:00,72126.9,72138.9,72118.8,72127.1,37.394,2697198.4916
57,2024-10-31 08:57:00,72127.0,72153.5,72119.0,72152.5,83.544,6026184.919
58,2024-10-31 08:58:00,72152.4,72160.0,72149.0,72159.9,24.889,1795902.4163
59,2024-10-31 08:59:00,72160.0,72173.9,72159.9,72173.9,51.501,3716441.4329
60,2024-10-31 09:00:00,72173.8,72200.0,72170.3,72199.9,49.443,3568934.0272
61,2024-10-31 09:01:00,72200.0,72259.2,72188.2,72259.2,264.119,19074560.6933
62,2024-10-31 09:02:00,72259.1,72298.7,72259.1,72296.5,115.179,8325041.5067
63,2024-10-31 09:03:00,72296.4,72313.5,72277.9,72313.4,109.365,7906205.7422
64,2024-10-31 09:04:00,72313.4,72320.0,72233.0,72250.6,250.185,18081665.98
65,2024-10-31 09:05:00,72250.5,72274.1,72243.3,72270.3,35.372,2555817.4298
66,2024-10-31 09:06:00,72270.3,72299.2,72270.3,72273.7,35.008,2530474.8714
67,2024-10-31 09:07:00,72273.8,72349.9,72264.0,72319.6,132.505,9582603.6848
68,2024-10-31 09:08:00,72319.6,72323.5,72319.6,72323.4,21.108,1526583.8628
69,2024-10-31 09:09:00,72323.5,72332.7,72321.0,72325.1,52.663,3808950.7918
70,2024-10-31 09:10:00,72325.1,72325.2,72312.0,72312.0,44.393,3210574.1969
71,2024-10-31 09:11:00,72312.0,72337.1,72303.5,72329.1,60.601,4382950.1637
